New run! (theta, phi) = 
331	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
332	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
333	0.233827	HGCalEEAirGap00Coarse2	Air
334	0.103923	HGCalEEAbsorberCopper23	Copper
335	0.311769	HGCalEEAbsorberStainlessSteel23	StainlessSteel
336	0.0519615	HGCalEEAbsorberEpoxy23	Epoxy
337	8.54247	HGCalEEAbsorberLead33	Lead
338	0.0519615	HGCalEEAbsorberEpoxy24	Epoxy
339	0.311769	HGCalEEAbsorberStainlessSteel24	StainlessSteel
340	0.103923	HGCalEEAbsorberCopper24	Copper
341	0.233827	HGCalEEAirGap10Coarse2	Air
342	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
343	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
344	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
345	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
346	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
347	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
348	0.275396	HGCalEEKapton10Coarse2	Kapton
349	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
350	1.45492	HGCalEEBasePlate10Coarse2	WCu
351	6.28734	HGCalEECoolingPlate12	Copper
352	1.45492	HGCalEEBasePlate00Coarse2	WCu
353	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
354	0.275396	HGCalEEKapton00Coarse2	Kapton
355	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
356	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
357	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
358	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
359	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
360	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
361	0.233827	HGCalEEAirGap00Coarse2	Air
362	0.103923	HGCalEEAbsorberCopper25	Copper
363	0.311769	HGCalEEAbsorberStainlessSteel25	StainlessSteel
364	0.0519615	HGCalEEAbsorberEpoxy25	Epoxy
365	8.54247	HGCalEEAbsorberLead34	Lead
366	0.0519615	HGCalEEAbsorberEpoxy26	Epoxy
367	0.311769	HGCalEEAbsorberStainlessSteel26	StainlessSteel
368	0.103923	HGCalEEAbsorberCopper26	Copper
369	0.233827	HGCalEEAirGap10Coarse2	Air
370	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
371	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
372	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
373	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
374	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
375	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
376	0.275396	HGCalEEKapton10Coarse2	Kapton
377	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
378	1.45492	HGCalEEBasePlate10Coarse2	WCu
379	6.28734	HGCalEECoolingPlate13	Copper
380	1.45492	HGCalEEBasePlate00Coarse2	WCu
381	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
382	0.275396	HGCalEEKapton00Coarse2	Kapton
383	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
384	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
385	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
386	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
387	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
388	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
389	0.233827	HGCalEEAirGap00Coarse2	Air
390	1.03923	HGCalEEStainlessSteelCover1	StainlessSteel
391	1.29904	HGCalHEAirGap01	Air
392	46.7654	HGCalHEAbsorber11	StainlessSteel
393	4.15692	HGCalHEAirGap11	Air
394	2.59808	HGCalHESteelCover1	StainlessSteel
395	0.415692	HGCalHEAirGap10Coarse2	Air
396	1.66277	HGCalHEPCB10Coarse2	HGC_G10-FR4
397	3.61133	HGCalHEConnector10Coarse2	HGC_HEConnector
398	1.66277	HGCalHEMotherBoard10Coarse2	HGC_G10-FR4
399	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
400	0.311769	HGCalHESiliconCellSensitiveFull0Coarse2	Silicon
401	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
402	0.103923	HGCalHEKapton10Coarse2	Kapton
403	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
404	1.03923	HGCalHEBasePlate10Coarse2	HGC_G10-FR4
405	6.59911	HGCalHECoolingPlate1	Copper
406	43.1281	HGCalHEAbsorber21	StainlessSteel
407	4.15692	HGCalHEAirGap12	Air
408	2.59808	HGCalHESteelCover2	StainlessSteel
409	0.415692	HGCalHEAirGap07Coarse2	Air
410	1.66277	HGCalHEPCB07Coarse2	HGC_G10-FR4
411	3.61133	HGCalHEConnector07Coarse2	HGC_HEConnector
412	1.66277	HGCalHEMotherBoard07Coarse2	HGC_G10-FR4
413	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
414	0.311769	HGCalHESiliconCellSensitiveFull0Coarse2	Silicon
415	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
416	0.103923	HGCalHEKapton07Coarse2	Kapton
417	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
418	1.03923	HGCalHEBasePlate07Coarse2	HGC_G10-FR4
419	6.59911	HGCalHECoolingPlate2	Copper
420	43.1281	HGCalHEAbsorber22	StainlessSteel
421	4.15692	HGCalHEAirGap13	Air
422	2.59808	HGCalHESteelCover3	StainlessSteel
423	0.415692	HGCalHEAirGap10Coarse2	Air
424	1.66277	HGCalHEPCB10Coarse2	HGC_G10-FR4
425	3.61133	HGCalHEConnector10Coarse2	HGC_HEConnector
426	1.66277	HGCalHEMotherBoard10Coarse2	HGC_G10-FR4
427	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
428	0.311769	HGCalHESiliconCellSensitiveFull0Coarse2	Silicon
429	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
430	0.103923	HGCalHEKapton10Coarse2	Kapton
431	0.0779423	HGCalHEEpoxy10Coarse2	Epoxy
432	1.03923	HGCalHEBasePlate10Coarse2	HGC_G10-FR4
433	6.59911	HGCalHECoolingPlate3	Copper
434	43.1281	HGCalHEAbsorber23	StainlessSteel
435	4.15692	HGCalHEAirGap14	Air
436	2.59808	HGCalHESteelCover4	StainlessSteel
437	0.415692	HGCalHEAirGap07Coarse2	Air
438	1.66277	HGCalHEPCB07Coarse2	HGC_G10-FR4
439	3.61133	HGCalHEConnector07Coarse2	HGC_HEConnector
440	1.66277	HGCalHEMotherBoard07Coarse2	HGC_G10-FR4
441	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
442	0.295871	HGCalHESiliconCellSensitiveFull0Coarse2	Silicon
443	0.0158985	HGCalHESiliconCellSensitiveFull0Coarse2	Silicon
444	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
445	0.103923	HGCalHEKapton07Coarse2	Kapton
446	0.0779423	HGCalHEEpoxy07Coarse2	Epoxy
447	1.03923	HGCalHEBasePlate07Coarse2	HGC_G10-FR4
448	6.59911	HGCalHECoolingPlate4	Copper
449	43.1281	HGCalHEAbsorber24	StainlessSteel
450	4.15692	HGCalHEAirGap15	Air
451	2.59808	HGCalHESteelCover5	StainlessSteel
452	0.415692	HGCalHEAirGap10Coarse2	Air
